Date,MKT,SMB,HML,RMW,CMA
20120103,1.5,-0.1,0.87,-0.67,-0.21
20120104,0,-0.63,0.09,0.27,-0.05
20120105,0.39,0.2,0.14,-0.37,0.07
20120106,-0.19,-0.04,-0.26,-0.04,-0.04
20120109,0.28,0.27,-0.06,-0.2,0.25
20120110,0.97,0.4,0.4,-0.78,-0.02
20120111,0.13,0.16,0.35,-0.76,0.22
20120112,0.31,0.28,0,-0.25,0.06
20120113,-0.52,-0.23,-0.45,0.64,0.11
20120117,0.36,-0.13,-0.72,0.58,-0.32
20120118,1.22,0.57,0.15,-0.62,-0.17
20120119,0.51,-0.14,-0.22,-0.12,-0.25
20120120,0.03,0.28,0.65,0.02,0.11
20120123,0.02,-0.21,0.13,0.34,-0.38
20120124,0,0.74,-0.4,-0.39,-0.24
20120125,0.91,0.07,-0.71,0.31,-0.21
20120126,-0.59,0.21,-0.55,0.2,-0.04
20120127,0.01,0.85,-0.12,-0.37,-0.17
20120130,-0.31,-0.46,-0.3,0.46,0.04
20120131,-0.05,-0.04,0.02,-0.05,-0.12
20120201,1.1,1.11,0.36,-0.5,0.31
20120202,0.17,0.38,-0.05,-0.47,-0.02
20120203,1.58,0.62,0.33,-0.63,-0.23
20120206,-0.05,-0.29,-0.2,-0.03,-0.24
20120207,0.16,-0.27,-0.09,0.21,0
20120208,0.25,-0.11,0.42,-0.15,0.01
20120209,0.15,-0.38,-0.38,0.19,0.01
20120210,-0.75,-0.58,-0.1,0.29,0.16
20120213,0.75,0.58,-0.06,-0.19,0.01
20120214,-0.09,-0.41,-0.41,0.56,-0.21
20120215,-0.5,-0.23,0.09,-0.11,0.03
20120216,1.27,0.7,0.28,-0.18,-0.15
20120217,0.16,-0.24,0.5,0.07,0.3
20120221,-0.05,-0.62,0.37,0.13,-0.33
20120222,-0.39,-0.39,-0.64,0.47,-0.16
20120223,0.56,0.9,-0.08,-0.39,0.24
20120224,0.15,-0.47,-0.65,0.18,-0.21
20120227,0.14,-0.14,0.36,0.03,0.1
20120228,0.28,-0.62,-0.14,0.16,-0.04
20120229,-0.55,-1.06,0.2,0.19,0.31
20120301,0.64,-0.16,0.02,-0.02,-0.08
20120302,-0.46,-1.26,0,0.1,0.35
20120305,-0.4,0.46,0.26,0.14,0.38
20120306,-1.62,-0.35,-0.33,0.5,-0.2
20120307,0.8,0.32,0.22,-0.32,0.07
20120308,1.07,0.38,-0.3,-0.13,0.05
20120309,0.49,0.9,0.15,-0.21,-0.01
20120312,-0.07,-0.21,-0.03,0.28,0.08
20120313,1.86,0.15,0.89,-0.64,-0.09
20120314,-0.23,-0.61,-0.22,0.44,0.15
20120315,0.67,0.3,0.51,-0.55,0.15
20120316,0.06,-0.27,0.39,-0.46,-0.17
20120319,0.41,0.5,-0.1,-0.13,-0.35
20120320,-0.39,-0.63,0.31,0.04,0.12
20120321,-0.1,0.29,-0.4,0.15,0.09
20120322,-0.74,-0.14,-0.43,0.56,-0.03
20120323,0.39,0.61,0.32,-0.33,-0.18
20120326,1.45,0.49,-0.24,0.13,-0.16
20120327,-0.3,-0.38,-0.32,0.07,-0.11
20120328,-0.51,0,0.42,-0.22,0.38
20120329,-0.16,-0.05,-0.23,0.2,0.14
20120330,0.28,-0.69,-0.04,-0.02,0.17
20120402,0.77,0.34,0.04,0.15,-0.33
20120403,-0.34,-0.33,-0.32,0.16,0.2
20120404,-1.11,-0.6,0.04,0.27,0.35
20120405,-0.03,-0.11,-0.48,0.22,-0.19
20120409,-1.21,-0.44,-0.04,0.52,0.17
20120410,-1.85,-0.44,0.09,0.24,0.08
20120411,0.85,0.8,0.28,-0.27,0.14
20120412,1.44,0.08,0.31,-0.48,-0.19
20120413,-1.25,-0.2,-0.76,0.62,0.1
20120416,-0.09,0.19,0.85,-0.21,0.47
20120417,1.55,0.04,-0.24,-0.11,-0.34
20120418,-0.43,-0.46,-0.41,0.36,-0.11
20120419,-0.57,-0.06,0.3,-0.31,0.3
20120420,0.11,0.52,-0.08,0.31,0.64
20120423,-0.95,-0.51,0.15,0.06,-0.04
20120424,0.29,0.27,0.99,-0.62,0.7
20120425,1.44,0.37,-1.05,0.35,-0.75
20120426,0.75,-0.03,-0.03,-0.18,-0.25
20120427,0.35,0.7,-0.18,0.09,-0.17
20120430,-0.49,-0.63,0.09,-0.11,-0.15
20120501,0.48,-0.78,0.39,-0.04,0.03
20120502,-0.15,0.65,-0.59,0.38,0.28
20120503,-0.92,-0.64,0.11,0.41,0.34
20120504,-1.62,-0.19,0.13,0.2,0.17
20120507,0.04,0.13,0.49,-0.39,0.29
20120508,-0.41,0.35,0.36,0.1,0.27
20120509,-0.62,0.15,-0.24,0.08,-0.11
